# id	name	mnn
11771	Орзид	цефтазидим
10841	Оригинальный большой бальзам Биттнера	~
2006	Оризолам Про	-
7935	Оритакс	цефотаксим
10744	Оритаксим	цефотаксим
2007	Оркамби &reg;	-
5571	Орнилатекс	орнитин
4001	Орниона	эстриол
2016	Орниприм	-
2017	Орнитин Канон	-
2018	Орнитин-МБФ	-
8009	ОрниФлю	~
11454	Ороназол	кетоконазол
1915	ОРО-форт	-
3617	Ортосифона тычиночного (Почечного чая) листья	ортосифона тычиночного листья
10701	Орунгал	итраконазол
10106	Орунгамин	итраконазол
13292	Орунит	итраконазол
7809	Осадок II+III для фракционирования	~
9100	Осадок фракции II+III (А)	~
4393	ОсваРен	-
2028	Осетафлю &reg;	-
10426	Осетрон	ондансетрон
2029	Осимертиниб	-
2031	Осимертиниб-Амедарт	-
2032	Осимертиниб-Промомед	-
2030	Осимертиниб Фармасинтез	-
2033	Осмивир Медисорб	-
13541	Основа бактериологических питательных сред сухая (гидролизат мяса ферментативный-ГМФ)	~
6648	Основа питательной среды Левенштейна-Йенсена для выделения и культивирования микобактерий туберкулеза сухая	~
8694	ОспаВир	вакцина для профилактики оспы
2034	Оспамокс &reg;	-
7988	Осталон Кальций-Д	~
11230	Остеогенон	~
10431	Остеокеа	~
5549	Остеолат	стронция ранелат
2035	Остеорегин	-
2036	Остеостатикс	-
12338	Остеохель С	~
2037	Остиоксиб &reg;	-
12465	Отаджи шалфей	~
2038	Отесла &reg;	-
2039	Отилор	-
2040	Отиндол	-
10755	Отинум	холина салицилат
2041	Отипэйн	-
2042	Отитокап	-
2043	Отодропс &reg;	-
2044	Отолептин &reg;	-
2045	Отолорин	-
2046	Отофизин	-
2049	Отрио	-
2050	Отрио Плюс	-
2051	Отхаркивающий сбор	-
2052	Офезумир&trade;	-
9052	Офломелид	~
2056	Офломикол	-
2057	Офломил Дерма	-
10999	Офтагель	карбомер
9211	Офтадек	декаметилендиметилментоксикарбонилметиламмония дихлорид
7595	Офтальмол	~
12327	Офтан Катахром	аденозин+никотинамид+цитохром с
2058	Офтаринт	-
2059	Офтасайт &reg;	-
2060	Офтодортим	-
7980	Офтолик	~
8319	Офтолик БК	~
2061	Офтопрост	-
2062	Офтрикс	-
11697	Оциллококцинум	~
4802	Пабал	карбетоцин
2064	Паглюверин &reg; -2	-
2065	Паглюверин &reg; -3	-
8097	Паглюферал-1	~
8080	Паглюферал-2	~
8074	Паглюферал-3	~
3437	Падцев Онко	-
2067	Пазопаниб	-
2068	Пазопаниб-Промомед	-
2069	Пазопаниб-ТЛ	-
2070	Пазопаниб-Фарм-Синтез	-
2071	Пазутренд	-
13590	Паит-Н	аллергены бактерий
8995	Пайлекс	~
4088	Пайлекс гем	~
5732	Пакликал	паклитаксел
2072	Паклиолл Панацея	-
2073	Паклитаксел	-
2075	Паклитаксел-Амедарт	-
2076	Паклитаксел-ДЕКО	-
2077	Паклитаксел-Келун-Казфарм	-
12787	Паклитаксел-ЛЭНС	паклитаксел
2078	Паклитаксел-Промомед	-
2079	Паклитаксел-Рус	-
8476	Паклитаксел-Тева	паклитаксел
7065	Паклитаксел-Филаксис	паклитаксел
12148	Паклитаксел-Эбеве	паклитаксел
2074	Паклитаксел Эльфа	-
8399	Паклитера	паклитаксел
13306	Пакреакам	-
12014	Паксен	паклитаксел
12750	Паксил	пароксетин
4131	Пакталек	паклитаксел
2080	Палболиб	-
2081	Палбоциклиб	-
